Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
57,CCAFS,SpaceX CRS-15,,LEO,Telkom Indonesia,Success,,Success,29 June 2018,14:56
58,CCAFS,Telstar 19V,,GTO,Telesat,Success,,Success,22 July 2018,17:29
59,VAFB,Iridium NEXT,,Polar,CONAE,Success,,Success,25 July 2018,00:10
60,CCAFS,Merah Putih,,GTO,Es'hailSat,Success,,Success,7 August 2018,02:19:21
61,CCAFS,Telstar 18V,,GTO,Spaceflight Industries,Success,,Success,10 September 2018,15:30
62,VAFB,SAOCOM 1A,,SSO,NASA,"Success
",,Failure,8 October 2018,14:07
63,KSC,Es'hail 2,,GTO,USAF,Success,,No attempt,15 November 2018,15:05
64,VAFB,SSO-A,,SSO,Iridium Communications,"Success
",,Success,3 December 2018,04:50
65,CCAFS,SpaceX CRS-16,,LEO,PSN,"Success
",,Success,5 December 2018,12:16
66,CCAFS,GPS III,,MEO,NASA,"Success
",,Success,23 December 2018,19:30
67,VAFB,Iridium NEXT,,Polar,NASA,"Success
",,Success,11 January 2019,19:22
68,CCAFS,Nusantara Satu,,GTO,SpaceX,"Success
",,Success,22 February 2019,01:25
69,KSC,Crew Dragon Demo-1,,LEO,Canadian Space Agency,"Success
",,Success,2 March 2019,09:21
70,CCAFS,SpaceX CRS-17,,LEO,NASA,"Success
",,Success,4 May 2019,20:10:46
71,CCAFS,Starlink,,LEO,Spacecom,"Success
",,No attempt,24 May 2019,21:30
72,VAFB,RADARSAT Constellation,,SSO,SpaceX,"Success
",,Success,12 June 2019,05:12
73,CCAFS,SpaceX CRS-18,,LEO,NASA,"Success
",,Success,25 July 2019,14:31
74,CCAFS,AMOS-17,,GTO,Sky Perfect JSAT,"Success
",,Success,6 August 2019,23:18
75,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,11 November 2019,12:46:14
76,CCAFS,SpaceX CRS-19,,LEO,NASA,"Success
",,"No attempt
",5 December 2019,11:29:34
77,CCAFS,JCSat-18,,GTO,SpaceX,"Success
",,Success,17 December 2019,12:25:57
78,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Failure,7 January 2020,15:31:34
79,KSC,Crew Dragon in-flight abort test,,Sub-orbital,NASA,"Success
",,Success,19 January 2020,23:24:23
80,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Failure,29 January 2020,00:27
81,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,17 February 2020,17:17:08
82,CCAFS,SpaceX CRS-20,,LEO,NASA,"Success
",,Success,7 March 2020,02:13
83,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,18 March 2020,16:17:08
84,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,22 April 2020,17:30:00
85,KSC,Crew Dragon Demo-2,,LEO,U.S. Space Force,"Success
",,Success,30 May 2020,14:00:00
86,CCAFS,Starlink,,LEO,Republic of Korea Army,"Success
",,Success,4 June 2020,02:15
87,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,13 June 2020,13:02
88,CCAFS,GPS III,,MEO,SpaceX,"Success
",,Success,30 June 2020,15:00
89,CCAFS,ANASIS-II,,GTO,CONAE,"Success
",,Success,20 July 2020,18:45
90,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,7 August 2020,15:43
91,CCAFS,Starlink,,LEO,SpaceX,"Success
",,Success,18 August 2020,07:44
92,CCAFS,SAOCOM 1B,,SSO,SpaceX,"Success
",,Success,30 August 2020,00:35
93,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,3 September 2020,15:10
94,KSC,Starlink,,LEO,USSF,"Success
",,Success,6 October 2020,16:00
95,KSC,Starlink,,LEO,NASA,"Success
",,Success,18 October 2020,22:41
96,CCAFS,Starlink,,LEO,NASA,"Success
",,Success,24 October 2020,22:06
97,CCAFS,GPS III,,MEO,SpaceX,"Success
",,Success,5 November 2020,19:25
98,KSC,Crew-1,,LEO,NASA,"Success
",,Success,16 November 2020,15:15
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),,LEO,Sirius XM,"Success
",,Success,21 November 2020,08:00
100,CCAFS,Starlink,,LEO,NRO,"Success
",,Success,25 November 2020,05:00
101,KSC,SpaceX CRS-21,,LEO,Türksat,"Success
",,Success,6 December 2020,05:52
102,CCSFS,SXM-7,,GTO,SpaceX,"Success
",,Success,13 December 2020,09:47
103,KSC,NROL-108,,LEO,Customer not available,"Success
",,Success,19 December 2020,23:03
104,CCSFS,Türksat 5A,,GTO,SpaceX,"Success
",,Success,8 January 2021,03:50
105,KSC,Starlink,,LEO,SpaceX,"Success
",,Failure,20 January 2021,20:10
106,CCSFS,Transporter-1,,SSO,SpaceX,"Success
",,Success,24 January 2021,23:03
107,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,4 February 2021,18:45
108,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,16 February 2021,15:43
109,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,4 March 2021,07:44
110,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,11 March 2021,00:35
111,KSC,Starlink,,LEO,NASA,"Success
",,Success,14 March 2021,15:10
112,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,24 March 2021,16:00
113,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,7 April 2021,22:41
114,KSC,Crew-2,,LEO,SpaceX,"Success
",,Success,23 April 2021,22:06
115,CCSFS,Starlink,,LEO,SpaceX,"Success
",,Success,29 April 2021,19:25
116,KSC,Starlink,,LEO,SpaceX,"Success
",,Success,4 May 2021,15:15
117,CCSFS,Starlink,,LEO,NASA,"Success
",,Success,9 May 2021,08:00
118,KSC,Starlink,,LEO,Sirius XM,"Success
",,Success,15 May 2021,05:00
119,CCSFS,Starlink,,LEO,,,,,26 May 2021,05:52
120,KSC,SpaceX CRS-22,,LEO,,,,,3 June 2021,09:47
121,CCSFS,SXM-8,,GTO,,,,,6 June 2021,23:03
,,,,,,,,,,03:50
,,,,,,,,,,20:10
,,,,,,,,,,23:03
,,,,,,,,,,14:21
,,,,,,,,,,01:29
,,,,,,,,,,18:42
,,,,,,,,,,23:35
,,,,,,,,,,20:43
,,,,,,,,,,05:21
,,,,,,,,,,21:39
,,,,,,,,,,14:29
,,,,,,,,,,04:45
,,,,,,,,,,05:26
,,,,,,,,,,17:54
,,,,,,,,,,14:39
,,,,,,,,,,06:00
,,,,,,,,,,22:27
,,,,,,,,,,11:15
,,,,,,,,,,23:21
,,,,,,,,,,21:07
,,,,,,,,,,19:10
,,,,,,,,,,20:25
,,,,,,,,,,23:38
,,,,,,,,,,16:31
,,,,,,,,,,18:51
,,,,,,,,,,14:00
,,,,,,,,,,12:37
,,,,,,,,,,22:53:00
,,,,,,,,,,19:34
,,,,,,,,,,15:36
,,,,,,,,,,01:27
,,,,,,,,,,01:00
,,,,,,,,,,21:25
,,,,,,,,,,14:17
,,,,,,,,,,05:33
,,,,,,,,,,14:14
,,,,,,,,,,20:30
,,,,,,,,,,22:51
,,,,,,,,,,20:14
,,,,,,,,,,19:47
,,,,,,,,,,04:45
,,,,,,,,,,09:42
,,,,,,,,,,05:50
,,,,,,,,,,11:39
,,,,,,,,,,05:18
,,,,,,,,,,04:45
,,,,,,,,,,02:22
,,,,,,,,,,20:46
,,,,,,,,,,18:34:05
,,,,,,,,,,18:16
,,,,,,,,,,13:51
,,,,,,,,,,15:31
,,,,,,,,,,01:45
,,,,,,,,,,07:49
,,,,,,,,,,06:48
,,,,,,,,,,02:30
,,,,,,,,,,14:17
,,,,,,,,,,22:01
,,,,,,,,,,23:23
,,,,,,,,,,14:56
,,,,,,,,,,17:29
,,,,,,,,,,00:10
,,,,,,,,,,02:19:21
,,,,,,,,,,15:30
,,,,,,,,,,14:07
,,,,,,,,,,15:05
,,,,,,,,,,04:50
,,,,,,,,,,12:16
,,,,,,,,,,19:30
,,,,,,,,,,19:22
,,,,,,,,,,01:25
,,,,,,,,,,09:21
,,,,,,,,,,20:10:46
,,,,,,,,,,21:30
,,,,,,,,,,05:12
,,,,,,,,,,14:31
,,,,,,,,,,23:18
,,,,,,,,,,12:46:14
,,,,,,,,,,11:29:34
,,,,,,,,,,12:25:57
,,,,,,,,,,15:31:34
,,,,,,,,,,23:24:23
,,,,,,,,,,00:27
,,,,,,,,,,17:17:08
,,,,,,,,,,02:13
,,,,,,,,,,16:17:08
,,,,,,,,,,17:30:00
,,,,,,,,,,14:00:00
,,,,,,,,,,02:15
,,,,,,,,,,13:02
,,,,,,,,,,15:00
,,,,,,,,,,06:19
,,,,,,,,,,03:59:37
,,,,,,,,,,08:24
,,,,,,,,,,08:13:29
,,,,,,,,,,10:01
,,,,,,,,,,08:28
,,,,,,,,,,16:34
,,,,,,,,,,9:49
,,,,,,,,,,03:44
,,,,,,,,,,19:01
,,,,,,,,,,06:42
,,,,,,,,,,22:56
,,,,,,,,,,18:59
,,,,,,,,,,17:29
,,,,,,,,,,04:26
